Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
213867329,Taken by my TBR: A Sentient Object Story,Holly  Wilde,"Wilde, Holly",,"=""""","=""""",3,3.17,,Kindle Edition,67,2024,,2024/11/07,2024/11/07,,,read,This was definitely a unique read. I sort of…liked it ,,,1,0
202468452,Love and Other Conspiracies,Mallory Marlowe,"Marlowe, Mallory",,"=""059364008X""","=""9780593640081""",4,3.93,Berkley,Paperback,368,2024,2024,2024/11/07,2024/11/07,,,read,,,,1,0
216787980,Tackled in the Stacks (Love Letters #0.5),S.J. Tilly,"Tilly, S.J.",,"=""1962096130""","=""9781962096133""",0,4.30,S.J. Tilly LLC,Kindle Edition,130,2024,,,2024/11/07,to-read,to-read (#24),to-read,,,,0,0
215107606,"Dear Rosie, (Love Letters #2)",S.J. Tilly,"Tilly, S.J.",,"=""1962096122""","=""9781962096126""",4,4.23,S.J. Tilly LLC,Kindle Edition,438,2024,,2024/11/07,2024/11/07,,,read,,,,1,0
214131996,"Love, Utley (Love Letters, #1)",S.J. Tilly,"Tilly, S.J.",,"=""1962096106""","=""9781962096102""",4,4.10,S.J. Tilly LLC,Paperback,428,2024,,2024/11/05,2024/11/07,,,read,,,,1,0
58743609,"The Rycke (Monstrous, #3)",Lily Mayne,"Mayne, Lily",,"=""""","=""""",5,4.28,Independently published,Kindle Edition,330,2021,2021,2024/11/02,2024/09/06,,,read,,,,1,0
58107402,"Edin (Monstrous, #2)",Lily Mayne,"Mayne, Lily",,"=""""","=""""",5,4.24,,Kindle Edition,410,2021,2021,2024/08/21,2024/08/19,,,read,,,,1,0
199261152,A Novel Love Story,Ashley Poston,"Poston, Ashley",,"=""0593640977""","=""9780593640975""",4,3.63,Berkley,Paperback,368,2024,2024,2024/09/05,2024/09/06,,,read,,,,1,0
32616656,Stuffed by the Were-Turkey (Shifter Holiday Erotica),Tate McKirk,"McKirk, Tate",,"=""""","=""""",1,2.15,,Kindle Edition,13,2015,,2024/09/06,2024/09/06,weird-ass-books-i-ve-read,weird-ass-books-i-ve-read (#4),read,I think I am questioning how far I’ve strayed in such a short amount of time in the romance world and my taste in literature but I’m here for the vibes ,,,1,0
58114709,"Soul Eater (Monstrous, #1)",Lily Mayne,"Mayne, Lily",,"=""""","=""""",4,4.24,Lily Mayne,Kindle Edition,329,2021,2021,2024/08/18,2024/08/14,,,read,,,,1,0
